City,Country,Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude,Date
Zarnovica,SK,25.63,40,63,1.12,48.48,18.72,
Guanica,PR,70.44,0,100,7.76,17.97,-66.91,
Coolum Beach,AU,78.72,20,76,5.86,-26.53,153.09,
San Juan,AR,50.82,0,81,2.95,-31.54,-68.53,
Luanda,AO,87.8,75,58,4.7,-8.83,13.24,
Bay City,US,16.11,90,85,9.17,43.59,-83.89,
Fonte Boa,BR,74.49,56,99,3.18,-2.51,-66.09,
Deputatskiy,RU,-60.7,0,0,2.73,69.3,139.9,
Awbari,LY,64.41,92,45,8.88,26.59,12.77,
Liwale,TZ,86.01,24,69,4.18,-9.8,37.92,
Akropong,GH,82.4,20,78,13.87,5.97,-0.09,
Wanning,AT,28.4,0,74,10.29,48.64,13.53,
Maniitsoq,GL,18.15,56,97,9.78,65.42,-52.9,
Frankenberg,DE,27.14,0,79,9.17,49.04,9.68,
Ogaminana,NG,82.23,0,65,6.64,7.6,6.2,
Kongolo,CD,75.75,64,85,3.51,-5.39,27,
Sao Domingos,BR,70.44,0,61,6.2,-13.4,-46.32,
Skjervoy,NO,25.8,56,100,7.76,70.03,20.97,
Novikovo,UA,47.04,44,94,8.32,45.05,34.56,
San Jose,PH,76.38,44,73,5.19,15.79,120.99,
Wagar,US,60.45,92,96,6.76,31.44,-87.99,
Telenesti,MD,32,20,95,5.82,47.5,28.37,
Bathsheba,BB,77,20,73,11.41,13.22,-59.52,
Oranienburg,DE,33.8,0,80,3.36,52.75,13.25,
Yumen,CN,21.93,88,95,6.98,40.29,97.04,
Grenaa,DK,33.8,36,100,4.7,56.42,10.88,
Ixtapa,MX,66.2,5,100,4.7,20.71,-105.21,
George Town,MY,88.92,75,62,10.29,5.42,100.33,
La Reforma,GT,69.8,5,94,2.17,14.8,-91.82,
Itajuba,BR,69.6,75,94,2.39,-22.43,-45.45,
Ystad,SE,33.8,20,100,8.05,55.43,13.82,
Leshukonskoye,RU,11.85,76,74,5.97,64.9,45.76,
Ostrovnoy,RU,-3.82,8,75,2.95,68.05,39.51,
Grand Gaube,MU,87.8,75,66,13.87,-20.01,57.66,
Apac,UG,81.33,44,59,8.99,1.98,32.53,
Polovinnoye,RU,10.14,8,87,6.2,54.79,65.99,
Carauari,BR,73.41,0,97,2.51,-4.88,-66.9,
Portland,US,47.97,90,87,13.87,45.52,-122.67,
Lafia,NG,85.92,0,30,5.53,8.5,8.51,
Kaeo,NZ,71.97,0,60,10.22,-35.1,173.78,
Etampes,FR,31.1,90,92,10.29,48.43,2.15,
Ulaangom,MN,7.08,0,100,2.17,49.98,92.07,
Hofn,IS,33.8,75,86,4.7,64.25,-15.21,
Tevriz,RU,20.4,68,86,5.19,57.51,72.4,
Coquimbo,CL,60.8,90,82,5.82,-29.95,-71.34,
Nosy Varika,MG,89.34,36,71,8.55,-20.58,48.53,
Arona,IT,30.74,75,93,6.93,45.76,8.56,
Chippewa Falls,US,4.19,20,65,9.17,44.94,-91.39,
Sao Joao da Barra,BR,78.8,0,78,4.7,-21.64,-41.05,
Ballina,IE,40.24,75,100,2.24,54.11,-9.15,
Laguna,MX,54.15,0,66,3.29,27.52,-110.01,
Kosh-Agach,RU,10.23,8,42,2.73,49.99,88.66,
Flinders,AU,64.4,90,100,6.93,-34.58,150.85,
Nova Mayachka,UA,37.4,75,100,15.66,46.6,33.23,
Qrendi,MT,55.4,20,82,2.24,35.83,14.46,
Qaqortoq,GL,23,68,73,21.92,60.72,-46.03,
Marica,BR,81.41,20,88,3.36,-22.92,-42.82,
Cortez,US,19.04,1,84,6.93,37.35,-108.58,
Nishihara,JP,43.77,1,43,6.93,35.74,139.53,
Bud,NO,32.61,90,100,11.41,62.91,6.91,
Walla Walla,US,43.38,90,88,10.45,46.06,-118.33,
Ilebo,CD,85.11,48,72,3.74,-4.33,20.59,
College,US,0.09,90,82,1.72,64.86,-147.8,
Klaksvik,FO,33.8,76,80,13.69,62.23,-6.59,
Kaliua,TZ,73.95,64,87,2.62,-5.06,31.79,
San Lorenzo,PY,68,75,88,9.17,-25.34,-57.51,
Bam,IR,67.2,0,11,15.7,29.11,58.36,
Kungurtug,RU,5.64,0,80,2.39,50.6,97.53,
Bandarbeyla,SO,75.03,92,100,14.81,9.49,50.81,
Novoorsk,RU,10.4,0,72,4.47,51.38,58.98,
Bayir,TR,55.31,75,71,3.36,37.27,28.22,
Kindu,CD,80.52,64,80,2.84,-2.95,25.92,
Amuntai,ID,84.48,36,79,2.62,-2.42,115.25,
Udachnyy,RU,-10.48,56,68,4.18,66.42,112.4,
Aleksandrov Gay,RU,29.94,80,99,9.33,50.14,48.57,
Sinnamary,GF,79.35,92,94,13.13,5.38,-52.96,
Constitucion,MX,40.2,0,73,4.63,23.99,-104.67,
Clyde River,CA,-22.01,1,74,5.82,70.47,-68.59,
Tapes,BR,70.08,80,100,1.16,-30.67,-51.4,
Sakaiminato,JP,48.2,75,70,13.87,35.55,133.23,
Kuching,MY,75.2,75,100,4.7,1.56,110.34,
Kautokeino,NO,-1.21,24,75,2.51,69.01,23.04,
Wilhelmshaven,DE,29.35,24,86,2.24,53.53,8.11,
Port Hedland,AU,91.4,0,63,13.87,-20.31,118.58,
Rabo de Peixe,PT,62.6,75,93,18.34,37.8,-25.58,
Marsabit,KE,82.86,0,62,9.89,2.34,37.99,
Broome,GB,35.06,0,93,6.93,52.47,1.45,
Avera,US,53.96,90,97,4.7,33.19,-82.53,
Altay,CN,15.72,0,78,2.39,47.83,88.13,
Kashary,RU,33.99,92,97,9.22,49.04,41.01,
Jacareacanga,BR,75.57,68,93,1.28,-6.22,-57.76,
Panama City,US,63.7,75,95,13.87,30.16,-85.65,
Opuwo,NA,80.97,56,31,3.62,-18.06,13.84,
Karratha,AU,102.12,0,25,10.78,-20.74,116.85,
Yaan,NG,87,0,54,8.55,7.38,8.57,
Itacare,BR,75.2,40,100,5.82,-14.28,-39,
Havoysund,NO,24.8,90,100,16.11,71,24.66,
Yangjiang,CN,68.1,0,91,11.9,21.85,111.96,
Kijang,KR,48.2,75,61,4.7,35.24,129.21,
Dibulla,CO,76.83,8,93,13.91,11.27,-73.31,
Popondetta,PG,71.07,80,96,1.95,-8.77,148.24,
Saysain,PH,83.39,75,58,10.29,14.56,120.39,
Kieta,PG,78.36,64,100,9.1,-6.22,155.63,
Swellendam,ZA,71.6,48,37,11.41,-34.02,20.44,
Kotturu,IN,83.13,0,51,7.99,14.82,76.23,
Kruisfontein,ZA,64.41,68,79,20.4,-34,24.73,
Pingliang,CN,32.55,0,51,4.18,35.54,106.68,
Rolla,US,37.17,90,92,12.75,37.95,-91.77,
Dawson Creek,CA,5,90,77,6.93,55.76,-120.23,
Sapulpa,US,30.29,90,81,21.92,36,-96.11,
